scenario,policy,transformer_policy,ba,attack_recall,fpr,attack_f1,d_recall_vs_naive_pp,recall_onesided_lo95,d_fpr_vs_naive_pp,fpr_onesided_hi95,recall_NI_principal,recall_NI_strict,recall_NI_lax,fpr_NI_principal,fpr_NI_strict,fpr_NI_lax
ps_full,naive,frozen_initial_transformer,93.746875,98.15677083333333,10.66302083333333,94.14009128476147,,,,,,,,,,
ps_full,point,frozen_initial_transformer,94.0796875,98.10468750000001,9.9453125,94.35016936880439,-0.0521,-0.263,-0.7177,0.126,True,True,True,True,True,True
ps_full,strict,frozen_initial_transformer,94.103125,97.62291666666665,9.416666666666666,94.31883005152761,-0.5339,-0.8349,-1.2464,-0.3057,True,False,True,True,True,True
ps_full,naive,own_transformer_per_model,94.64947916666667,97.51770833333336,8.218750000000002,94.84105407469808,,,,,,,,,,
ps_full,point,own_transformer_per_model,94.84166666666664,97.84322916666669,8.159895833333335,95.0330763774766,0.3255,0.0703,-0.0589,0.425,True,True,True,True,False,True
ps_full,strict,own_transformer_per_model,94.69869791666666,97.73541666666667,8.338020833333333,94.88500495291574,0.2177,-0.1443,0.1193,0.7104,True,True,True,False,False,True
unsw_full,naive,frozen_initial_transformer,84.42291666666668,95.50312499999998,26.657291666666673,86.04090469868451,,,,,,,,,,
unsw_full,point,frozen_initial_transformer,84.41822916666666,95.66354166666666,26.827083333333334,86.05934135685757,0.1604,0.0292,0.1698,0.4724,True,True,True,True,False,True
unsw_full,strict,frozen_initial_transformer,84.38802083333331,95.78593749999999,27.009895833333335,86.05177223380468,0.2828,-0.0063,0.3526,0.9099,True,True,True,False,False,True
unsw_full,naive,own_transformer_per_model,85.57473958333334,95.89947916666668,24.75,86.98469062920691,,,,,,,,,,
unsw_full,point,own_transformer_per_model,85.36692708333332,96.21249999999999,25.47864583333333,86.86168813033247,0.313,0.1948,0.7286,1.0698,True,True,True,False,False,False
unsw_full,strict,own_transformer_per_model,85.42838541666666,96.22447916666667,25.367708333333333,86.9159693477745,0.325,0.1125,0.6177,1.0823,True,True,True,False,False,False
ton_full,naive,frozen_initial_transformer,87.44817708333333,91.165625,16.269270833333334,86.10315524307379,,,,,,,,,,
ton_full,point,frozen_initial_transformer,93.00338541666667,95.47447916666665,9.467708333333333,93.18458083523093,4.3089,1.413,-6.8016,-4.2333,True,True,True,True,True,True
ton_full,strict,frozen_initial_transformer,92.83072916666666,94.75364583333334,9.0921875,92.9710384493907,3.588,0.6495,-7.1771,-4.537,True,True,True,True,True,True
ton_full,naive,own_transformer_per_model,93.42604166666668,95.93437499999999,9.082291666666666,93.6443639837244,,,,,,,,,,
ton_full,point,own_transformer_per_model,94.0671875,95.50729166666669,7.372916666666665,94.17834686140762,-0.4271,-0.7146,-1.7094,-0.9276,True,False,True,True,True,True
ton_full,strict,own_transformer_per_model,93.60286458333333,94.81927083333335,7.613541666666666,93.6962398273313,-1.1151,-1.4974,-1.4688,-0.5229,False,False,True,True,True,True
ps_zero,naive,frozen_initial_transformer,91.34479166666665,99.26927083333332,16.5796875,92.41660443793972,,,,,,,,,,
ps_zero,point,frozen_initial_transformer,94.27473958333333,99.74895833333332,11.199479166666666,94.65722988266526,0.4797,-0.0219,-5.3802,-2.6354,True,True,True,True,True,True
ps_zero,strict,frozen_initial_transformer,95.37109375,99.75364583333334,9.011458333333332,95.62361356858281,0.4844,-0.0219,-7.5682,-4.8406,True,True,True,True,True,True
ps_zero,naive,own_transformer_per_model,93.70104166666667,99.709375,12.307291666666668,94.11888641751813,,,,,,,,,,
ps_zero,point,own_transformer_per_model,94.45442708333333,99.68749999999999,10.778645833333332,94.7803606001552,-0.0219,-0.0661,-1.5286,-0.9292,True,True,True,True,True,True
ps_zero,strict,own_transformer_per_model,95.37786458333332,99.7328125,8.977083333333335,95.61129668810976,0.0234,-0.024,-3.3302,-2.6016,True,True,True,True,True,True
unsw_zero,naive,frozen_initial_transformer,88.40989583333332,96.90572916666666,20.0859375,89.35548504073692,,,,,,,,,,
unsw_zero,point,frozen_initial_transformer,88.62265625000002,96.34895833333331,19.10364583333334,89.47355080300264,-0.5568,-0.8047,-0.9823,-0.6156,True,False,True,True,True,True
unsw_zero,strict,frozen_initial_transformer,88.846875,96.08802083333333,18.394270833333334,89.63154473198662,-0.8177,-1.0979,-1.6917,-1.2521,False,False,True,True,True,True
unsw_zero,naive,own_transformer_per_model,88.4375,96.75208333333333,19.87708333333333,89.36204016023001,,,,,,,,,,
unsw_zero,point,own_transformer_per_model,88.62552083333335,96.12343750000001,18.872395833333336,89.45135835088347,-0.6286,-0.9161,-1.0047,-0.6167,True,False,True,True,True,True
unsw_zero,strict,own_transformer_per_model,88.94401041666669,95.76354166666667,17.875520833333336,89.67741547241201,-0.9885,-1.262,-2.0016,-1.6297,False,False,True,True,True,True
ton_zero,naive,frozen_initial_transformer,86.70052083333333,87.22760416666667,13.8265625,83.67127070531436,,,,,,,,,,
ton_zero,point,frozen_initial_transformer,92.16614583333332,93.94427083333333,9.611979166666668,92.3197875620598,6.7167,1.8589,-4.2146,-2.1448,True,True,True,True,True,True
ton_zero,strict,frozen_initial_transformer,92.57265625,93.7921875,8.646875000000001,92.66701918644299,6.5646,1.7083,-5.1797,-3.1719,True,True,True,True,True,True
ton_zero,naive,own_transformer_per_model,92.19401041666669,93.57187499999998,9.183854166666666,92.31049178670678,,,,,,,,,,
ton_zero,point,own_transformer_per_model,92.30286458333335,93.4395833333333,8.833854166666665,92.39511434569133,-0.1323,-0.1995,-0.35,-0.1813,True,True,True,True,True,True
ton_zero,strict,own_transformer_per_model,92.53020833333333,93.67239583333333,8.611979166666666,92.61869707005322,0.1005,-0.0693,-0.5719,-0.2682,True,True,True,True,True,True
